ticker,issuer,issuer_cik,confidence,buyer_count,total_value,titles,first_date,last_date,max_pct_of_holdings,has_officer,has_10b5_1,same_day_cluster,price_vs_market,new_position,offering_nearby,offering_forms,filing_urls
WIX,Wix.com Ltd.,0001576789,high,6,185718.89,CFO; CMO; CTO; Chief Executive Officer; Chief People Officer; President,2026-08-31,2026-08-31,0.0086,True,False,True,identical:59.89,False,False,,https://www.sec.gov/Archives/edgar/data/1576789/0001628280-26-059979.txt | https://www.sec.gov/Archives/edgar/data/1826257/0001628280-26-059982.txt | https://www.sec.gov/Archives/edgar/data/1969467/0001628280-26-059988.txt | https://www.sec.gov/Archives/edgar/data/1969583/0001628280-26-059977.txt | https://www.sec.gov/Archives/edgar/data/1969635/0001628280-26-059986.txt | https://www.sec.gov/Archives/edgar/data/1976036/0001628280-26-059984.txt
AMRZ,Amrize Ltd,0002035989,high,5,1681784.35,Chairman & CEO; Chief Legal Officer & Corp Sec; Chief Mktg & Corp Affairs Off; Director,2026-08-25,2026-09-02,0.4667,True,False,False,varied:42.37-45.02,False,False,,https://www.sec.gov/Archives/edgar/data/2035989/0001524595-26-000005.txt | https://www.sec.gov/Archives/edgar/data/2035989/0002035989-26-000071.txt | https://www.sec.gov/Archives/edgar/data/2035989/0002035989-26-000074.txt | https://www.sec.gov/Archives/edgar/data/2035989/0002035989-26-000076.txt | https://www.sec.gov/Archives/edgar/data/2035989/0002035989-26-000078.txt
DKS,"DICK'S SPORTING GOODS, INC.",0001089063,high,4,3843905.07,Director,2026-08-26,2026-09-01,0.6544,False,False,False,varied:128.695-133.19,False,False,,https://www.sec.gov/Archives/edgar/data/1089063/0001246485-26-000005.txt | https://www.sec.gov/Archives/edgar/data/1089063/0001510712-26-000010.txt | https://www.sec.gov/Archives/edgar/data/1198906/0001198906-26-000006.txt | https://www.sec.gov/Archives/edgar/data/1198906/0001198906-26-000008.txt | https://www.sec.gov/Archives/edgar/data/1290936/0001290936-26-000010.txt
AMRC,"Ameresco, Inc.",0001488139,high,4,738410.66,Chief Executive Officer; Director,2026-08-21,2026-08-28,0.1209,True,False,False,varied:20.87-22.84,False,False,,https://www.sec.gov/Archives/edgar/data/1488139/0001628280-26-058967.txt | https://www.sec.gov/Archives/edgar/data/1488139/0001628280-26-059096.txt | https://www.sec.gov/Archives/edgar/data/1488139/0001628280-26-059097.txt | https://www.sec.gov/Archives/edgar/data/1488139/0001628280-26-059098.txt | https://www.sec.gov/Archives/edgar/data/1488139/0001628280-26-059314.txt | https://www.sec.gov/Archives/edgar/data/1488139/0001628280-26-059708.txt
UAMY,UNITED STATES ANTIMONY CORP,0000101538,high,4,298685.0,"Chairman & CEO; Dir, EVP & Chief Mining Eng; Director",2026-08-28,2026-09-01,0.1074,True,False,False,varied:4.635-5.035,False,False,,https://www.sec.gov/Archives/edgar/data/1191410/0001104659-26-103384.txt | https://www.sec.gov/Archives/edgar/data/1328270/0001104659-26-104378.txt | https://www.sec.gov/Archives/edgar/data/1399729/0001104659-26-104644.txt | https://www.sec.gov/Archives/edgar/data/1533482/0001104659-26-103998.txt
INBX,"Inhibrx Biosciences, Inc.",0002007919,high,3,3499596.56,Chief Executive Officer; Director,2026-09-08,2026-09-08,0.0133,True,False,True,varied:99.2948-114.647,False,False,,https://www.sec.gov/Archives/edgar/data/1240801/0001240801-26-000004.txt | https://www.sec.gov/Archives/edgar/data/2007919/0001366074-26-000002.txt | https://www.sec.gov/Archives/edgar/data/2007919/0001366268-26-000004.txt
AXIA3,AXIA Energia S.A.,0001439124,high,3,976639.0,Director,2026-08-26,2026-08-31,0.0688,False,False,False,varied:10.24-10.31,False,False,,https://www.sec.gov/Archives/edgar/data/1439124/0001213900-26-095647.txt | https://www.sec.gov/Archives/edgar/data/1439124/0001213900-26-095848.txt | https://www.sec.gov/Archives/edgar/data/1439124/0001213900-26-096631.txt
PRTS,"CarParts.com, Inc.",0001378950,high,3,236357.88,CEO; COO; Director,2026-08-20,2026-08-28,0.1256,True,False,False,varied:6.15-7.16,False,False,,https://www.sec.gov/Archives/edgar/data/1378950/0001140361-26-034452.txt | https://www.sec.gov/Archives/edgar/data/1378950/0001140361-26-035125.txt | https://www.sec.gov/Archives/edgar/data/1378950/0001140361-26-035126.txt
GROV,"Grove Collaborative Holdings, Inc.",0001841761,high,3,173116.47,Director; President & CEO,2026-09-01,2026-09-02,0.1104,True,False,False,varied:1.0278-1.0761,False,False,,https://www.sec.gov/Archives/edgar/data/1841761/0001841761-26-000090.txt | https://www.sec.gov/Archives/edgar/data/1841761/0001841761-26-000092.txt | https://www.sec.gov/Archives/edgar/data/1841761/0001841761-26-000094.txt
HKHC,Horizon Kinetics Holding Corp,0000088000,high,3,93598.0,Director,2026-08-24,2026-09-02,0.4494,False,False,False,varied:25.92-27,False,False,,https://www.sec.gov/Archives/edgar/data/1770906/0001437749-26-028884.txt | https://www.sec.gov/Archives/edgar/data/1770906/0001437749-26-028964.txt | https://www.sec.gov/Archives/edgar/data/1770906/0001437749-26-029156.txt | https://www.sec.gov/Archives/edgar/data/1770906/0001437749-26-029253.txt | https://www.sec.gov/Archives/edgar/data/1770906/0001437749-26-029558.txt | https://www.sec.gov/Archives/edgar/data/88000/0001437749-26-028880.txt | https://www.sec.gov/Archives/edgar/data/88000/0001437749-26-029086.txt
RGCO,RGC RESOURCES INC,0001069533,high,3,21600.0,"Director; Senior VP and Secretary; VP, Human Resources",2026-09-01,2026-09-01,0.0056,True,False,True,varied:21.3-21.57,False,False,,https://www.sec.gov/Archives/edgar/data/1069533/0001437749-26-029479.txt | https://www.sec.gov/Archives/edgar/data/1801438/0001437749-26-029483.txt | https://www.sec.gov/Archives/edgar/data/1968153/0001437749-26-029481.txt
N/A,John Hancock GA Senior Loan Trust,0001742951,high,2,66981948.1,,2026-08-31,2026-08-31,0.07,False,False,False,identical:16.33,False,False,,https://www.sec.gov/Archives/edgar/data/1742951/0001765496-26-000017.txt | https://www.sec.gov/Archives/edgar/data/1742951/0001833683-26-000017.txt
NONE,Privacore VPC Asset Backed Credit Fund,0002066579,high,2,7500000.0,,2026-08-28,2026-09-01,0.0826,False,False,False,varied:10.14-10.15,False,False,,https://www.sec.gov/Archives/edgar/data/2111448/0000895345-26-000394.txt | https://www.sec.gov/Archives/edgar/data/903939/0000903939-26-000028.txt
AMR,"Alpha Metallurgical Resources, Inc.",0001704715,high,2,6575049.33,Director,2026-08-21,2026-09-08,0.0153,False,False,False,varied:208.917-235.47,False,False,,https://www.sec.gov/Archives/edgar/data/1704715/0000921895-26-002305.txt | https://www.sec.gov/Archives/edgar/data/1704715/0001812746-26-000010.txt | https://www.sec.gov/Archives/edgar/data/1704715/0001812746-26-000011.txt | https://www.sec.gov/Archives/edgar/data/1704715/0001812746-26-000012.txt
NGL,NGL Energy Partners LP,0001504461,high,2,5750140.64,Director,2026-08-21,2026-08-27,0.7965,False,False,False,varied:16.2237-17,False,False,,https://www.sec.gov/Archives/edgar/data/1206714/0001206714-26-000009.txt | https://www.sec.gov/Archives/edgar/data/1206714/0001206714-26-000013.txt | https://www.sec.gov/Archives/edgar/data/1504461/0001186173-26-000001.txt | https://www.sec.gov/Archives/edgar/data/1504461/0001186173-26-000004.txt
ACDC,ProFrac Holding Corp.,0001881487,high,2,5735297.35,,2026-08-21,2026-08-25,0.0043,False,False,False,varied:4.7026-4.8062,False,False,,https://www.sec.gov/Archives/edgar/data/1881487/0001104659-26-101760.txt | https://www.sec.gov/Archives/edgar/data/1881487/0001641792-26-000008.txt
EQPT,EquipmentShare.com Inc,0001693736,high,2,1050645.0,Founder & CEO; Founder & President,2026-08-28,2026-09-02,0.2067,True,False,False,varied:17.03-17.87,False,False,,https://www.sec.gov/Archives/edgar/data/1693736/0000950103-26-013377.txt | https://www.sec.gov/Archives/edgar/data/1693736/0001628280-26-060490.txt | https://www.sec.gov/Archives/edgar/data/1693736/0001628280-26-060731.txt
JUSH,Jushi Holdings Inc.,0001909747,high,2,1022225.62,Chief Executive Officer; President,2026-08-24,2026-09-01,0.1266,True,False,False,varied:0.48-0.52,False,False,,https://www.sec.gov/Archives/edgar/data/1455939/0001628280-26-059077.txt | https://www.sec.gov/Archives/edgar/data/1455939/0001628280-26-059399.txt | https://www.sec.gov/Archives/edgar/data/1455939/0001628280-26-060096.txt | https://www.sec.gov/Archives/edgar/data/1939867/0001628280-26-059395.txt | https://www.sec.gov/Archives/edgar/data/1939867/0001628280-26-060092.txt
FTCI,"FTC Solar, Inc.",0001828161,high,2,489308.02,Chief Executive Officer; Director,2026-08-25,2026-08-28,0.3957,True,False,False,varied:2.08-2.69,False,False,,https://www.sec.gov/Archives/edgar/data/1828161/0001193125-26-372434.txt | https://www.sec.gov/Archives/edgar/data/1828161/0001193125-26-377154.txt | https://www.sec.gov/Archives/edgar/data/1828161/0001193125-26-377575.txt | https://www.sec.gov/Archives/edgar/data/2100820/0001193125-26-365940.txt
ENOV,Enovis CORP,0001420800,high,2,449599.21,Chief Administrative Officer; Chief Executive Officer,2026-09-02,2026-09-04,0.0839,True,False,False,varied:18.8-20.32,False,False,,https://www.sec.gov/Archives/edgar/data/1420800/0001193125-26-384027.txt | https://www.sec.gov/Archives/edgar/data/2105870/0001193125-26-384028.txt | https://www.sec.gov/Archives/edgar/data/2105870/0001193125-26-385615.txt
SHMD,SCHMID Group N.V.,0001987240,high,2,432528.7,Director,2026-08-30,2026-09-02,0.1481,False,False,False,varied:3.05-3.248,False,False,,https://www.sec.gov/Archives/edgar/data/1987240/0001881975-26-000004.txt | https://www.sec.gov/Archives/edgar/data/1987240/0002023157-26-000005.txt
SCOR,"COMSCORE, INC.",0001158172,high,2,311437.71,Chief Executive Officer; Director,2026-08-26,2026-09-08,0.1207,True,False,False,varied:5.06-5.26,False,False,,https://www.sec.gov/Archives/edgar/data/1158172/0001466605-26-000007.txt | https://www.sec.gov/Archives/edgar/data/1158172/0001853874-26-000012.txt | https://www.sec.gov/Archives/edgar/data/1158172/0001853874-26-000014.txt
HWKN,HAWKINS INC,0000046250,high,2,261575.78,EXECUTIVE VP AND CFO; VP - WATER TREATMENT GROUP,2026-08-25,2026-08-27,0.0323,True,False,False,varied:118.754-119,False,False,,https://www.sec.gov/Archives/edgar/data/46250/0001626669-26-000006.txt | https://www.sec.gov/Archives/edgar/data/46250/0001816092-26-000006.txt
AVBC,"Avidia Bancorp, Inc.",0002058758,high,2,209942.5,CFO and Treasurer; Director,2026-08-26,2026-09-03,0.2363,True,False,False,varied:22.0175-22.19,False,False,,https://www.sec.gov/Archives/edgar/data/2058758/0001437749-26-029090.txt | https://www.sec.gov/Archives/edgar/data/2058758/0001437749-26-029624.txt
OPAL,OPAL Fuels Inc.,0001842279,high,2,177000.0,Co-Chief Executive Officer; Director,2026-08-31,2026-09-03,0.1021,True,False,False,varied:1.91-2.08,False,False,,https://www.sec.gov/Archives/edgar/data/1827382/0001628280-26-060107.txt | https://www.sec.gov/Archives/edgar/data/1933088/0001628280-26-060113.txt | https://www.sec.gov/Archives/edgar/data/1933088/0001628280-26-060916.txt
VENU,Venu Holding Corp,0001770501,high,2,174577.14,CEO & Chairman; Director,2026-08-21,2026-09-02,0.4216,True,False,False,varied:1.8295-2.0168,False,False,,https://www.sec.gov/Archives/edgar/data/1005645/0001493152-26-040234.txt | https://www.sec.gov/Archives/edgar/data/1005645/0001493152-26-040817.txt | https://www.sec.gov/Archives/edgar/data/1005645/0001493152-26-041271.txt | https://www.sec.gov/Archives/edgar/data/1005645/0001493152-26-041361.txt | https://www.sec.gov/Archives/edgar/data/1363651/0001493152-26-040045.txt | https://www.sec.gov/Archives/edgar/data/1363651/0001493152-26-040391.txt
MTDR,Matador Resources Co,0001520006,high,2,171841.95,Chairman and CEO; EVP and CFO,2026-08-26,2026-08-27,0.1163,True,False,False,varied:54.49-56.64,False,False,,https://www.sec.gov/Archives/edgar/data/1540655/0001540655-26-000024.txt | https://www.sec.gov/Archives/edgar/data/2020286/0002020286-26-000008.txt
UMBF,UMB FINANCIAL CORP,0000101382,high,2,135021.16,Director,2026-09-01,2026-09-01,0.0369,False,False,False,identical:139.6,False,False,,https://www.sec.gov/Archives/edgar/data/1267879/0000101382-26-000180.txt | https://www.sec.gov/Archives/edgar/data/1774955/0000101382-26-000181.txt
UTGN,UTG INC,0000832480,high,2,119500.0,Chairman & CEO,2026-08-27,2026-08-27,0.002,True,False,False,identical-round:59.75,False,False,,https://www.sec.gov/Archives/edgar/data/1064869/0000832480-26-000027.txt | https://www.sec.gov/Archives/edgar/data/1064892/0000832480-26-000026.txt
BATL,BATTALION OIL CORP,0001282648,high,2,110032.0,Director,2026-08-26,2026-08-27,0.9722,False,False,False,varied:1.3024-1.31,False,False,,https://www.sec.gov/Archives/edgar/data/1282648/0001104659-26-103372.txt | https://www.sec.gov/Archives/edgar/data/1282648/0001104659-26-103373.txt
LIEN,"Chicago Atlantic BDC, Inc.",0001843162,high,2,106541.57,Co-Chief Investment Officer; President,2026-08-25,2026-08-31,0.1749,True,False,False,varied:10.12-10.2467,False,False,,https://www.sec.gov/Archives/edgar/data/1843162/0001193125-26-371518.txt | https://www.sec.gov/Archives/edgar/data/1843162/0001193125-26-371636.txt | https://www.sec.gov/Archives/edgar/data/1843162/0001193125-26-378866.txt | https://www.sec.gov/Archives/edgar/data/1843162/0001193125-26-378888.txt
SLNH,"Soluna Holdings, Inc",0000064463,high,2,82600.0,Chief Executive Officer; Chief Financial Officer,2026-08-26,2026-08-28,0.014,True,False,False,varied:1.13-1.2,False,False,,https://www.sec.gov/Archives/edgar/data/1297074/0001493152-26-040836.txt | https://www.sec.gov/Archives/edgar/data/1891684/0001493152-26-040464.txt
AIIR,AIR Global PLC,0002097725,high,2,79981.71,Chief Executive Officer; Chief Financial Officer,2026-08-27,2026-09-01,0.0175,True,False,False,varied:7.3547-7.9727,False,False,,https://www.sec.gov/Archives/edgar/data/2097725/0001193125-26-378381.txt | https://www.sec.gov/Archives/edgar/data/2097725/0001193125-26-378382.txt | https://www.sec.gov/Archives/edgar/data/2097725/0001193125-26-380882.txt
APCX,AppTech Payments Corp.,0001070050,high,2,71388.0,Director; Interim CEO & CFO; Interim CEO and CFO,2026-08-20,2026-09-03,0.0154,True,False,False,varied:0.3414-0.38,False,False,,https://www.sec.gov/Archives/edgar/data/1070050/0001683168-26-006733.txt | https://www.sec.gov/Archives/edgar/data/1070050/0001683168-26-006735.txt | https://www.sec.gov/Archives/edgar/data/1070050/0001683168-26-006833.txt | https://www.sec.gov/Archives/edgar/data/1070050/0001683168-26-006834.txt | https://www.sec.gov/Archives/edgar/data/1070050/0001683168-26-006934.txt
JMSB,"John Marshall Bancorp, Inc.",0001710482,high,2,57076.12,Director,2026-08-26,2026-08-26,0.0044,False,False,False,varied:22.92-22.96,False,False,,https://www.sec.gov/Archives/edgar/data/1710482/0001318894-26-000005.txt | https://www.sec.gov/Archives/edgar/data/1898808/0001898808-26-000003.txt
