ticker,issuer,issuer_cik,confidence,buyer_count,total_value,titles,first_date,last_date,max_pct_of_holdings,has_officer,has_10b5_1,same_day_cluster,price_vs_market,new_position,offering_nearby,offering_forms,filing_urls
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,high,30,121843.8,Chairman and CEO; Controller; EVP and Co-COO; SVP; SVP and CFO; SVP and Deputy Co-COO; SVP and GC; VP; VP and CIO,2026-09-07,2026-09-07,0.2517,True,False,True,identical:76.2,False,False,,https://www.sec.gov/Archives/edgar/data/1046179/0001046179-26-000642.txt | https://www.sec.gov/Archives/edgar/data/1046179/0001046179-26-000643.txt | https://www.sec.gov/Archives/edgar/data/1046179/0001046179-26-000644.txt | https://www.sec.gov/Archives/edgar/data/1046179/0001046179-26-000646.txt | https://www.sec.gov/Archives/edgar/data/1046179/0001046179-26-000652.txt | https://www.sec.gov/Archives/edgar/data/1046179/0001046179-26-000653.txt | https://www.sec.gov/Archives/edgar/data/1046179/0001046179-26-000654.txt | https://www.sec.gov/Archives/edgar/data/1046179/0001046179-26-000655.txt | https://www.sec.gov/Archives/edgar/data/1046179/0001046179-26-000656.txt | https://www.sec.gov/Archives/edgar/data/2113031/0001046179-26-000605.txt | https://www.sec.gov/Archives/edgar/data/2113680/0001046179-26-000616.txt | https://www.sec.gov/Archives/edgar/data/2113688/0001046179-26-000628.txt | https://www.sec.gov/Archives/edgar/data/2113698/0001046179-26-000614.txt | https://www.sec.gov/Archives/edgar/data/2113699/0001046179-26-000623.txt | https://www.sec.gov/Archives/edgar/data/2113710/0001046179-26-000602.txt | https://www.sec.gov/Archives/edgar/data/2113729/0001046179-26-000648.txt | https://www.sec.gov/Archives/edgar/data/2113739/0001046179-26-000633.txt | https://www.sec.gov/Archives/edgar/data/2113756/0001046179-26-000637.txt | https://www.sec.gov/Archives/edgar/data/2113771/0001046179-26-000613.txt | https://www.sec.gov/Archives/edgar/data/2114025/0001046179-26-000635.txt | https://www.sec.gov/Archives/edgar/data/2114026/0001046179-26-000606.txt | https://www.sec.gov/Archives/edgar/data/2114027/0001046179-26-000603.txt | https://www.sec.gov/Archives/edgar/data/2114029/0001046179-26-000615.txt | https://www.sec.gov/Archives/edgar/data/2114030/0001046179-26-000612.txt | https://www.sec.gov/Archives/edgar/data/2114031/0001046179-26-000624.txt | https://www.sec.gov/Archives/edgar/data/2114032/0001046179-26-000632.txt | https://www.sec.gov/Archives/edgar/data/2114064/0001046179-26-000626.txt | https://www.sec.gov/Archives/edgar/data/2117998/0001046179-26-000604.txt | https://www.sec.gov/Archives/edgar/data/2135942/0001046179-26-000640.txt | https://www.sec.gov/Archives/edgar/data/2135989/0001046179-26-000622.txt
WIX,Wix.com Ltd.,0001576789,high,6,185718.89,CFO; CMO; CTO; Chief Executive Officer; Chief People Officer; President,2026-08-31,2026-08-31,0.0086,True,False,True,identical:59.89,False,False,,https://www.sec.gov/Archives/edgar/data/1576789/0001628280-26-059979.txt | https://www.sec.gov/Archives/edgar/data/1826257/0001628280-26-059982.txt | https://www.sec.gov/Archives/edgar/data/1969467/0001628280-26-059988.txt | https://www.sec.gov/Archives/edgar/data/1969583/0001628280-26-059977.txt | https://www.sec.gov/Archives/edgar/data/1969635/0001628280-26-059986.txt | https://www.sec.gov/Archives/edgar/data/1976036/0001628280-26-059984.txt
BWFG,"Bankwell Financial Group, Inc.",0001505732,high,5,435320.54,Director,2026-09-08,2026-09-08,0.0521,False,False,True,varied:66.92-67.11,False,False,,https://www.sec.gov/Archives/edgar/data/1505732/0001026081-26-000026.txt | https://www.sec.gov/Archives/edgar/data/1505732/0001505732-26-000113.txt | https://www.sec.gov/Archives/edgar/data/1505732/0001505732-26-000114.txt | https://www.sec.gov/Archives/edgar/data/1505732/0001505732-26-000115.txt | https://www.sec.gov/Archives/edgar/data/1505732/0001505732-26-000116.txt
INBX,"Inhibrx Biosciences, Inc.",0002007919,high,3,3499596.56,Chief Executive Officer; Director,2026-09-08,2026-09-08,0.0133,True,False,True,varied:99.2948-114.647,False,False,,https://www.sec.gov/Archives/edgar/data/1240801/0001240801-26-000004.txt | https://www.sec.gov/Archives/edgar/data/2007919/0001366074-26-000002.txt | https://www.sec.gov/Archives/edgar/data/2007919/0001366268-26-000004.txt
GROV,"Grove Collaborative Holdings, Inc.",0001841761,high,3,173364.7,Director; President & CEO,2026-09-01,2026-09-04,0.1104,True,False,False,varied:1.0278-1.0761,False,False,,https://www.sec.gov/Archives/edgar/data/1841761/0001841761-26-000090.txt | https://www.sec.gov/Archives/edgar/data/1841761/0001841761-26-000092.txt | https://www.sec.gov/Archives/edgar/data/1841761/0001841761-26-000094.txt | https://www.sec.gov/Archives/edgar/data/1841761/0001841761-26-000096.txt
RGCO,RGC RESOURCES INC,0001069533,high,3,21600.0,"Director; Senior VP and Secretary; VP, Human Resources",2026-09-01,2026-09-01,0.0056,True,False,True,varied:21.3-21.57,False,False,,https://www.sec.gov/Archives/edgar/data/1069533/0001437749-26-029479.txt | https://www.sec.gov/Archives/edgar/data/1801438/0001437749-26-029483.txt | https://www.sec.gov/Archives/edgar/data/1968153/0001437749-26-029481.txt
CYBN,CYBIN INC.,0001833141,high,2,2164152.0,Chief Growth Officer; Executive Chair,2026-08-31,2026-09-01,0.0223,True,False,False,varied:11.5853-11.805,False,False,,https://www.sec.gov/Archives/edgar/data/1833141/0000912282-26-001246.txt | https://www.sec.gov/Archives/edgar/data/1833141/0000912282-26-001254.txt
PRTS,"CarParts.com, Inc.",0001378950,high,2,1497701.26,CEO; COO,2026-09-04,2026-09-09,0.2621,True,False,False,varied:9.11-9.64,False,False,,https://www.sec.gov/Archives/edgar/data/1378950/0001140361-26-036089.txt | https://www.sec.gov/Archives/edgar/data/1378950/0001140361-26-036090.txt
GME,GameStop Corp.,0001326380,high,2,1230031.6,Director,2026-09-08,2026-09-09,0.3846,False,False,False,varied:18.7992-19.12,False,False,,https://www.sec.gov/Archives/edgar/data/1326380/0001840480-26-000002.txt | https://www.sec.gov/Archives/edgar/data/1868288/0001868288-26-000004.txt
EQPT,EquipmentShare.com Inc,0001693736,high,2,610250.0,Founder & CEO; Founder & President,2026-09-01,2026-09-02,0.1667,True,False,False,varied:17.03-17.79,False,False,,https://www.sec.gov/Archives/edgar/data/1693736/0001628280-26-060490.txt | https://www.sec.gov/Archives/edgar/data/1693736/0001628280-26-060731.txt
